repeat,outer_fold,feature_set,model,n_train,n_test,roc_auc,average_precision,brier,balanced_accuracy,best_params,subject_ids_test
1,1,A_raw_lr,lr_en,88,23,0.7352941176470589,0.8961470456249463,0.239558105725525,0.6813725490196079,"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,A_raw_lr,lr_en,89,22,0.78125,0.9236319494059432,0.2107159370184892,0.6770833333333333,"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
1,3,A_raw_lr,lr_en,89,22,0.6470588235294117,0.8965742446711304,0.2716007931099139,0.6058823529411765,"{""model__C"": 0.1, ""model__l1_ratio"": 0.1}",sub-0003;sub-0005;sub-0009;sub-0014;sub-0016;sub-0019;sub-0024;sub-0029;sub-0041;sub-0053;sub-0056;sub-0066;sub-0070;sub-0074;sub-0075;sub-0078;sub-0081;sub-0092;sub-0098;sub-0107;sub-0113;sub-0115
1,4,A_raw_lr,lr_en,89,22,0.6470588235294118,0.8564820370547925,0.2269360665663999,0.5823529411764705,"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
1,5,A_raw_lr,lr_en,89,22,0.6705882352941176,0.8974895384770636,0.1898452468229283,0.6411764705882352,"{""model__C"": 10.0, ""model__l1_ratio"": 0.9}",sub-0002;sub-0006;sub-0010;sub-0017;sub-0030;sub-0033;sub-0036;sub-0037;sub-0040;sub-0044;sub-0046;sub-0048;sub-0059;sub-0062;sub-0077;sub-0082;sub-0084;sub-0094;sub-0101;sub-0106;sub-0108;sub-0111
1,1,A_raw_lr,random_forest,88,23,0.5980392156862745,0.8487388226635454,0.2271605483141665,0.4656862745098039,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,A_raw_lr,random_forest,89,22,0.7916666666666667,0.9272033779773718,0.1631941403732271,0.6770833333333333,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
1,3,A_raw_lr,random_forest,89,22,0.6470588235294118,0.9024367516172288,0.2124939631930782,0.6941176470588235,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}",sub-0003;sub-0005;sub-0009;sub-0014;sub-0016;sub-0019;sub-0024;sub-0029;sub-0041;sub-0053;sub-0056;sub-0066;sub-0070;sub-0074;sub-0075;sub-0078;sub-0081;sub-0092;sub-0098;sub-0107;sub-0113;sub-0115
1,4,A_raw_lr,random_forest,89,22,0.5529411764705883,0.8043375408359018,0.1956329545454545,0.5,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
1,5,A_raw_lr,random_forest,89,22,0.6941176470588235,0.9166621203317616,0.1824002643120612,0.4529411764705883,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}",sub-0002;sub-0006;sub-0010;sub-0017;sub-0030;sub-0033;sub-0036;sub-0037;sub-0040;sub-0044;sub-0046;sub-0048;sub-0059;sub-0062;sub-0077;sub-0082;sub-0084;sub-0094;sub-0101;sub-0106;sub-0108;sub-0111
1,1,A_raw_lr,xgboost,88,23,0.5784313725490196,0.7763959838414678,0.2513451278209686,0.4656862745098039,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,A_raw_lr,xgboost,89,22,0.7708333333333334,0.917950131224125,0.1955585926771164,0.6770833333333333,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
1,3,A_raw_lr,xgboost,89,22,0.6705882352941177,0.914335080124554,0.2555711269378662,0.6235294117647059,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",sub-0003;sub-0005;sub-0009;sub-0014;sub-0016;sub-0019;sub-0024;sub-0029;sub-0041;sub-0053;sub-0056;sub-0066;sub-0070;sub-0074;sub-0075;sub-0078;sub-0081;sub-0092;sub-0098;sub-0107;sub-0113;sub-0115
1,4,A_raw_lr,xgboost,89,22,0.5411764705882354,0.8272468640548225,0.1815360486507415,0.5705882352941176,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
1,5,A_raw_lr,xgboost,89,22,0.6705882352941177,0.896394316240428,0.2032563835382461,0.4823529411764705,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",sub-0002;sub-0006;sub-0010;sub-0017;sub-0030;sub-0033;sub-0036;sub-0037;sub-0040;sub-0044;sub-0046;sub-0048;sub-0059;sub-0062;sub-0077;sub-0082;sub-0084;sub-0094;sub-0101;sub-0106;sub-0108;sub-0111
1,1,B_sum_mean_ai,lr_en,88,23,0.7058823529411765,0.8524841267920853,0.2196881036110187,0.6568627450980392,"{""model__C"": 0.1, ""model__l1_ratio"": 0.9}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,B_sum_mean_ai,lr_en,89,22,0.8020833333333334,0.9361787518037518,0.2042689026648649,0.78125,"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
1,3,B_sum_mean_ai,lr_en,89,22,0.6941176470588235,0.9186229046454872,0.2470374769100435,0.7058823529411764,"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}",sub-0003;sub-0005;sub-0009;sub-0014;sub-0016;sub-0019;sub-0024;sub-0029;sub-0041;sub-0053;sub-0056;sub-0066;sub-0070;sub-0074;sub-0075;sub-0078;sub-0081;sub-0092;sub-0098;sub-0107;sub-0113;sub-0115
1,4,B_sum_mean_ai,lr_en,89,22,0.6823529411764706,0.9031808543850978,0.1925441010415513,0.5823529411764705,"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
1,5,B_sum_mean_ai,lr_en,89,22,0.7058823529411764,0.9226034442297418,0.2038457758486263,0.6235294117647059,"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}",sub-0002;sub-0006;sub-0010;sub-0017;sub-0030;sub-0033;sub-0036;sub-0037;sub-0040;sub-0044;sub-0046;sub-0048;sub-0059;sub-0062;sub-0077;sub-0082;sub-0084;sub-0094;sub-0101;sub-0106;sub-0108;sub-0111
1,1,B_sum_mean_ai,random_forest,88,23,0.6666666666666666,0.8847861976344948,0.2130088396748342,0.4950980392156862,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,B_sum_mean_ai,random_forest,89,22,0.78125,0.9260240627428128,0.1608202723004856,0.7083333333333333,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
1,3,B_sum_mean_ai,random_forest,89,22,0.6588235294117648,0.9094331193402402,0.2286594210920507,0.6941176470588235,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",sub-0003;sub-0005;sub-0009;sub-0014;sub-0016;sub-0019;sub-0024;sub-0029;sub-0041;sub-0053;sub-0056;sub-0066;sub-0070;sub-0074;sub-0075;sub-0078;sub-0081;sub-0092;sub-0098;sub-0107;sub-0113;sub-0115
1,4,B_sum_mean_ai,random_forest,89,22,0.6470588235294117,0.8895482355621674,0.196272909090909,0.4705882352941176,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
1,5,B_sum_mean_ai,random_forest,89,22,0.6823529411764706,0.9068963958601548,0.1899480366723862,0.4235294117647059,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",sub-0002;sub-0006;sub-0010;sub-0017;sub-0030;sub-0033;sub-0036;sub-0037;sub-0040;sub-0044;sub-0046;sub-0048;sub-0059;sub-0062;sub-0077;sub-0082;sub-0084;sub-0094;sub-0101;sub-0106;sub-0108;sub-0111
1,1,B_sum_mean_ai,xgboost,88,23,0.6176470588235294,0.8652975595904935,0.2170387506484985,0.4362745098039216,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,B_sum_mean_ai,xgboost,89,22,0.75,0.9266105604921394,0.1870201528072357,0.7916666666666667,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
1,3,B_sum_mean_ai,xgboost,89,22,0.6588235294117647,0.9086466509067128,0.2496367543935775,0.7941176470588236,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",sub-0003;sub-0005;sub-0009;sub-0014;sub-0016;sub-0019;sub-0024;sub-0029;sub-0041;sub-0053;sub-0056;sub-0066;sub-0070;sub-0074;sub-0075;sub-0078;sub-0081;sub-0092;sub-0098;sub-0107;sub-0113;sub-0115
1,4,B_sum_mean_ai,xgboost,89,22,0.6588235294117647,0.8780012953820093,0.1756931394338607,0.611764705882353,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
1,5,B_sum_mean_ai,xgboost,89,22,0.7294117647058824,0.9259694796391208,0.1928462982177734,0.5235294117647059,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",sub-0002;sub-0006;sub-0010;sub-0017;sub-0030;sub-0033;sub-0036;sub-0037;sub-0040;sub-0044;sub-0046;sub-0048;sub-0059;sub-0062;sub-0077;sub-0082;sub-0084;sub-0094;sub-0101;sub-0106;sub-0108;sub-0111
1,1,C_ai_only,lr_en,88,23,0.5,0.7391304347826086,0.2517816403373737,0.5,"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}",sub-0004;sub-0008;sub-0012;sub-0020;sub-0021;sub-0023;sub-0025;sub-0026;sub-0032;sub-0035;sub-0042;sub-0060;sub-0064;sub-0071;sub-0076;sub-0080;sub-0087;sub-0090;sub-0093;sub-0096;sub-0100;sub-0102;sub-0110
1,2,C_ai_only,lr_en,89,22,0.34375,0.7284289014648923,0.2824918460020755,0.46875,"{""model__C"": 0.1, ""model__l1_ratio"": 0.1}",sub-0001;sub-0007;sub-0013;sub-0022;sub-0027;sub-0031;sub-0034;sub-0039;sub-0045;sub-0047;sub-0049;sub-0051;sub-0052;sub-0055;sub-0061;sub-0069;sub-0085;sub-0086;sub-0089;sub-0095;sub-0097;sub-0099
1,3,C_ai_only,lr_en,89,22,0.5,0.7727272727272727,0.2482888669227319,0.5,"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}",sub-0003;sub-0005;sub-0009;sub-0014;sub-0016;sub-0019;sub-0024;sub-0029;sub-0041;sub-0053;sub-0056;sub-0066;sub-0070;sub-0074;sub-0075;sub-0078;sub-0081;sub-0092;sub-0098;sub-0107;sub-0113;sub-0115
1,4,C_ai_only,lr_en,89,22,0.5058823529411764,0.8056357428261454,0.3448577394125061,0.5058823529411764,"{""model__C"": 10.0, ""model__l1_ratio"": 0.1}",sub-0011;sub-0015;sub-0018;sub-0028;sub-0038;sub-0043;sub-0050;sub-0054;sub-0058;sub-0067;sub-0068;sub-0072;sub-0073;sub-0079;sub-0088;sub-0091;sub-0103;sub-0104;sub-0105;sub-0109;sub-0112;sub-0114
